WazaID	ExtentionType	Type	Category	DamageType	Power	CriticalRank	HpRecoverRatio	ShrinkPer	SickParamSickID	SickParamPer	SickParamSickCont	SickParamSickTurnMin	SickParamSickTurnMax	RankEffect0Type	RankEffect0Value	RankEffect0Per	RankEffect1Type	RankEffect1Value	RankEffect1Per	RankEffect2Type	RankEffect2Value	RankEffect2Per	DamageRecoverRatio	DamageDrainRatio	IsGuard	IsAvoidByFloat	IsTouch	IsCut	IsWind	CanThroughMigawari	CanMeltFrozen	IsHpRecover	IsKaihukuHuuziEnable	IsYubiWoHuruPermit	IsSick	IsMamoruEnable	CantKill	ValueEffectRatio
192	0	12	4	2	120	0	0	0	1	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
613	0	2	8	2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	False	False	False	False	False	False	False	False	True	False	False	True	False	0
40	0	3	4	1	30	0	0	0	5	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
390	0	3	11	0	0	0	0	0	5	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
92	0	3	1	0	0	0	0	0	5	100	1	15	15	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
398	0	3	4	1	80	0	0	0	5	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
77	0	3	1	0	0	0	0	0	5	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
407	0	15	0	1	100	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
337	0	15	0	1	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
577	0	17	8	2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	False	False	True	False	False	False	False	False	True	True	False	True	False	0
529	0	4	0	1	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
133	0	13	2	0	0	0	0	0	0	0	0	0	0	4	1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
403	0	2	0	2	75	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	False	False	False	True	False	True	False	0
412	0	11	6	2	90	0	0	0	0	0	0	0	0	4	-1	10	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
108	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
527	0	12	6	2	55	0	0	0	0	0	0	0	0	5	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
297	0	2	2	0	0	0	0	0	0	0	0	0	0	1	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
317	0	5	6	1	60	0	0	0	0	0	0	0	0	5	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
200	0	15	0	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
202	0	11	8	2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	False	False	False	False	False	False	False	False	True	True	False	True	False	0
416	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
566	0	7	0	1	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	False	False	0
616	0	4	0	1	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
612	0	1	7	1	40	0	0	0	0	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
396	0	1	0	2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
211	0	8	7	1	70	0	0	0	0	0	0	0	0	2	1	10	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
56	0	10	0	2	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
304	0	0	0	2	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	True	False	0
748	0	1	2	0	0	0	0	0	0	0	0	0	0	9	1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
63	0	0	0	2	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
617	0	17	0	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	False	False	False	False	False	False	False	False	False	False	False	True	False	0
150	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
75	0	11	0	1	55	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	False	False	False	True	False	True	False	0
567	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
282	0	16	0	1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
484	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
137	0	0	2	0	0	0	0	0	1	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
188	0	3	4	2	90	0	0	0	5	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
482	0	3	4	2	95	0	0	0	5	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
535	0	9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
113	0	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
576	0	16	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
52	0	9	4	2	40	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
46	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	False	False	0
424	0	9	4	1	65	0	0	5	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
7	0	9	4	1	75	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
83	0	9	4	2	20	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
609	0	12	4	1	20	0	0	0	1	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
195	0	0	1	0	0	0	0	0	20	100	2	4	4	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	False	False	0
435	0	12	4	2	80	0	0	0	1	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
59	0	14	4	2	110	0	0	0	3	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	False	False	False	True	False	True	False	0
18	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	True	False	False	False	True	False	False	False	0
436	0	9	4	2	80	0	0	0	4	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
560	0	1	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
394	0	9	4	1	120	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	-33	0	False	False	True	False	False	False	True	False	False	True	False	True	False	0
573	0	14	4	2	70	0	0	0	3	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
526	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	100	3	1	100	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
162	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	2
370	0	1	7	1	120	0	0	0	0	0	0	0	0	2	-1	100	4	-1	100	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
81	0	6	2	0	0	0	0	0	0	0	0	0	0	5	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
249	0	1	6	1	40	0	0	0	0	0	0	0	0	2	-1	50	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
157	0	5	0	1	75	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
88	0	5	0	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
103	0	0	2	0	0	0	0	0	0	0	0	0	0	2	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	True	False	0
593	0	13	0	2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	0
621	0	16	7	1	100	0	0	0	0	0	0	0	0	2	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	0
172	0	9	4	1	60	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	True	False	False	True	False	True	False	0
53	0	9	4	2	90	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
104	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	0
425	0	7	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
598	0	12	2	0	0	0	0	0	0	0	0	0	0	3	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
377	0	13	5	0	0	0	0	0	15	100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
242	0	16	6	1	80	0	0	0	0	0	0	0	0	2	-1	20	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
87	0	12	4	2	110	0	0	0	1	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
422	0	12	4	1	65	0	0	5	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
9	0	12	4	1	75	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
44	0	16	0	1	60	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
106	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
280	0	1	0	1	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
16	0	2	0	2	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	False	False	False	True	False	True	False	0
411	0	1	6	2	120	0	0	0	0	0	0	0	0	4	-1	10	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
116	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
588	0	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	0
319	0	8	2	0	0	0	0	0	0	0	0	0	0	4	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
163	0	0	0	1	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	True	False	False	False	False	False	True	False	True	False	0
687	0	15	0	2	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
196	0	14	0	2	55	0	0	0	0	0	0	0	0	5	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
670	0	11	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
423	0	14	4	1	65	0	0	5	3	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
420	0	14	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
203	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	0
205	0	5	0	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
538	0	11	2	0	0	0	0	0	0	0	0	0	0	2	1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
235	0	11	3	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	True	True	True	False	False	False	0
97	0	13	2	0	0	0	0	0	0	0	0	0	0	5	1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
812	0	10	0	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
114	0	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	False	False	0
141	0	6	8	1	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	False	False	True	False	False	False	False	False	True	True	False	True	False	0
341	0	4	6	2	55	0	0	0	0	0	0	0	0	5	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
183	0	1	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
191	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	8
182	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	0
611	0	6	4	2	20	0	0	0	8	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	8
595	0	9	6	2	75	0	0	0	0	0	0	0	0	3	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
345	0	11	0	2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
605	0	17	0	2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
224	0	6	0	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
347	0	13	2	0	0	0	0	0	0	0	0	0	0	3	1	100	4	1	100	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
232	0	8	7	1	50	0	0	0	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
164	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	15
197	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	0
248	0	13	0	2	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	0
42	0	6	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
55	0	10	0	2	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
352	0	10	4	2	60	0	0	0	6	20	2	2	5	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
594	0	10	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
571	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
457	0	5	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
920	0	15	7	2	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	True	False	0
405	0	6	6	2	90	0	0	0	0	0	0	0	0	4	-1	10	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	True	False	0
585	0	17	6	2	95	0	0	0	0	0	0	0	0	3	-1	30	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
45	0	0	2	0	0	0	0	0	0	0	0	0	0	1	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	True	False	0
57	0	10	0	2	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
564	0	6	0	0	0	0	0	0	0	0	0	0	0	5	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
273	0	0	3	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	True	True	True	False	False	False	0
79	0	11	1	0	0	0	0	0	2	100	2	2	4	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
93	0	13	4	2	50	0	0	0	6	10	2	2	5	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
257	0	9	0	2	95	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
596	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	0
43	0	0	2	0	0	0	0	0	0	0	0	0	0	2	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
174	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	True	False	False	False	2
34	0	0	0	1	85	0	0	0	1	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	True	False	0
261	0	9	1	0	0	0	0	0	4	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
315	0	9	7	2	130	0	0	0	0	0	0	0	0	3	-1	100	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
570	0	12	8	2	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	False	False	False	False	False	False	False	False	True	True	False	True	False	0
408	0	5	0	2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
438	0	11	0	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	True	False	False	False	False	False	False	True	False	True	False	0
430	0	8	6	2	80	0	0	0	0	0	0	0	0	4	-1	10	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
58	0	14	4	2	90	0	0	0	3	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	True	False	0
